x,y
3975.02,2.8829659757899998e-06
3974.97,2.3519720626599998e-06
3974.92,2.61296931745e-06
3974.87,2.78796792631e-06
3974.8199999999997,2.39497184037e-06
3974.77,2.55697019917e-06
3974.72,2.49497026587e-06
3974.6583333333333,2.57797032327e-06
3974.5966666666664,2.56796957123e-06
3974.535,2.40897161994e-06
3974.4733333333334,2.52296982501e-06
3974.4116666666664,2.29397297587e-06
3974.35,2.50297013991e-06
3974.29,2.62596956751e-06
3974.23,2.52296982501e-06
3974.17,2.59897044737e-06
3974.1099999999997,2.28497266283e-06
3974.0499999999997,2.14097493011e-06
3973.99,2.34797212564e-06
3973.93,2.23497345008e-06
3973.87,2.04397509314e-06
3973.81,2.15797511719e-06
3973.75,2.53197013805e-06
3973.69,2.68896812083e-06
3973.63,2.51496995097e-06
3973.57,2.72596799301e-06
3973.51,2.93896691305e-06
3973.45,2.8859663833e-06
3973.39,2.57096906925e-06
3973.33,2.46897158473e-06
3973.27,2.52496979352e-06
3973.21,2.46797114573e-06
3973.15,2.62196963049e-06
3973.09,2.30897319444e-06
3973.0299999999997,2.03097575257e-06
3972.97,2.36897224974e-06
3972.91,2.59996997688e-06
3972.85,2.77496767625e-06
3972.79,2.68096824679e-06
3972.73,2.45097186814e-06
3972.67,2.48396998432e-06
3972.61,2.34697259613e-06
3972.55,2.23797385759e-06
3972.4883333333337,2.45297092716e-06
3972.4266666666667,2.56396963421e-06
3972.365,2.47997095679e-06
3972.3033333333333,2.55796972868e-06
3972.241666666667,2.5009701714e-06
3972.18,2.6029694749e-06
3972.12,2.77296770774e-06
3972.06,2.6429688451e-06
3972.0,2.46897158473e-06
3971.94,2.33797228309e-06
3971.88,2.28297360381e-06
3971.82,2.47097155324e-06
3971.76,2.74896808562e-06
3971.7000000000003,3.06496492918e-06
3971.6400000000003,3.09296448832e-06
3971.58,2.67096840424e-06
3971.52,2.53997092158e-06
3971.46,2.56596960272e-06
3971.4,2.48097139579e-06
3971.34,2.7849675188e-06
3971.2799999999997,2.86396672969e-06
3971.22,2.76896777072e-06
3971.16,2.5279702010299998e-06
3971.1,2.51797035848e-06
3971.04,3.15396307313e-06
3970.98,2.88796635181e-06
3970.92,2.63996843759e-06
3970.8599999999997,2.9889652163099998e-06
3970.7999999999997,3.36596064468e-06
3970.74,3.30496115038e-06
3970.68,2.88796635181e-06
3970.62,3.39796105033e-06
3970.56,3.31096105591e-06
3970.5,2.97596496625e-06
3970.44,3.026964618e-06
3970.38,3.07296480322e-06
3970.32,3.0079653719e-06
3970.26,2.71096777444e-06
3970.2,2.92396669448e-06
3970.14,2.73396877654e-06
3970.08,2.63896890808e-06
3970.02,2.68196868579e-06
3969.9583333333335,2.57196950825e-06
3969.8966666666665,2.67396881175e-06
3969.835,2.64796831163e-06
3969.7733333333335,2.52496979352e-06
3969.7116666666666,2.29597385387e-06
3969.65,2.67096840424e-06
3969.59,2.85496641665e-06
3969.53,2.49197076785e-06
3969.4700000000003,2.3799716218e-06
3969.41,2.31597353897e-06
3969.35,2.51997032699e-06
3969.29,2.36797181074e-06
3969.23,2.47897051779e-06
3969.17,2.7029679004e-06
3969.1099999999997,2.40797209043e-06
3969.0499999999997,2.71596815046e-06
3968.99,2.55596976017e-06
3968.93,2.3969718088799998e-06
3968.87,2.63696984906e-06
3968.81,2.48497042332e-06
3968.75,2.6909680893399998e-06
3968.69,2.89796619436e-06
3968.63,2.53696960458e-06
3968.57,2.3519720626599998e-06
3968.51,2.7029679004e-06
3968.4500000000003,2.56796957123e-06
3968.3900000000003,2.71796811897e-06
3968.33,2.64096978608e-06
3968.27,2.35597199968e-06
3968.21,2.82896682602e-06
3968.15,2.50196970091e-06
3968.09,2.48097139579e-06
3968.0299999999997,2.66796799673e-06
3967.97,2.58096982129e-06
3967.91,2.7649678337e-06
3967.85,2.50797051593e-06
3967.7883333333334,2.40497168292e-06
3967.7266666666665,2.62996950453e-06
3967.665,3.1809631027599998e-06
3967.6033333333335,2.68696815232e-06
3967.5416666666665,2.23597388908e-06
3967.48,2.88796635181e-06
3967.42,2.42697133653e-06
3967.36,2.36897224974e-06
3967.3,2.6619680912e-06
3967.24,2.94596452911e-06
3967.18,2.82896682602e-06
3967.12,2.44997142914e-06
3967.06,3.24696297308e-06
3967.0,2.82596641851e-06
3966.94,2.76296786519e-06
3966.88,3.229962786e-06
3966.82,2.75696795966e-06
3966.76,2.78196802078e-06
3966.7000000000003,2.44997142914e-06
3966.6400000000003,2.65596818567e-06
3966.58,2.70796827642e-06
3966.52,2.45397136616e-06
3966.46,2.90896647591e-06
3966.4,2.77896852276e-06
3966.34,3.01896474396e-06
3966.28,3.07396433273e-06
3966.2200000000003,2.91896631846e-06
3966.16,2.91296641293e-06
3966.1,3.27696159124e-06
3966.04,3.35796077064e-06
3965.98,2.64396837461e-06
3965.92,3.03896533855e-06
3965.8599999999997,2.91996675746e-06
3965.7999999999997,2.74296818009e-06
3965.74,2.89896663336e-06
3965.68,2.58197026029e-06
3965.6183333333333,2.68696815232e-06
3965.5566666666664,2.47297152175e-06
3965.495,2.57997029178e-06
3965.4333333333334,2.420971431e-06
3965.3716666666664,2.12397474303e-06
3965.31,2.83096679453e-06
3965.25,2.57397038625e-06
3965.19,2.12997555805e-06
3965.13,2.25597357418e-06
3965.0699999999997,2.2589730722e-06
3965.0099999999998,2.27697369828e-06
3964.95,2.38997146435e-06
3964.89,2.60896938043e-06
3964.83,2.70096793189e-06
3964.77,2.91796587946e-06
3964.71,2.67396881175e-06
3964.65,2.48797083083e-06
3964.59,2.9659651237e-06
3964.53,2.75396755215e-06
3964.4700000000003,2.6649694082e-06
3964.41,2.95696572015e-06
3964.35,2.51697082897e-06
3964.29,2.63796846908e-06
3964.23,2.8039667649e-06
3964.17,2.59696956937e-06
3964.11,2.90196613138e-06
3964.05,2.95996521817e-06
3963.99,3.00396543488e-06
3963.93,3.0179652144499998e-06
3963.87,2.53597007507e-06
3963.81,2.67796783928e-06
3963.75,2.85396688714e-06
3963.69,2.60596988241e-06
3963.63,2.51296998246e-06
3963.57,2.51197045295e-06
3963.51,2.79596689086e-06
3963.4483333333337,3.18696300829e-06
3963.3866666666668,2.61096934894e-06
3963.325,2.84796698161e-06
3963.2633333333333,3.36696017419e-06
3963.201666666667,2.71196730395e-06
3963.14,2.73696827456e-06
3963.08,2.71996808748e-06
3963.02,2.80796670192e-06
3962.96,2.91996675746e-06
3962.9,2.49797067338e-06
3962.84,2.9889652163099998e-06
3962.78,3.04396480508e-06
3962.7200000000003,2.69696799487e-06
3962.6600000000003,2.88496685379e-06
3962.6000000000004,2.65196824865e-06
3962.54,2.60496944341e-06
3962.48,2.73496830605e-06
3962.42,2.3809720608e-06
3962.36,2.6429688451e-06
3962.3,2.98296531078e-06
3962.24,2.22197410951e-06
3962.18,2.3969718088799998e-06
3962.12,2.82896682602e-06
3962.06,2.75896792817e-06
3962.0,2.85596594616e-06
3961.94,2.39597227937e-06
3961.88,2.64796831163e-06
3961.8199999999997,2.87196660373e-06
3961.7599999999998,2.64096978608e-06
3961.7,2.43397168106e-06
3961.64,2.23697341859e-06
3961.58,2.62596956751e-06
3961.52,2.51197045295e-06
3961.46,2.67396881175e-06
3961.4,2.52697067152e-06
3961.34,2.30597278693e-06
3961.28,2.59196919335e-06
3961.2200000000003,2.33697184409e-06
3961.16,2.58496975831e-06
3961.1,2.50497010842e-06
3961.04,2.63396853206e-06
3960.98,2.82996635553e-06
3960.9183333333335,2.4019721849e-06
3960.8566666666666,2.46697161622e-06
3960.795,2.21497376498e-06
3960.7333333333336,2.29797291289e-06
3960.6716666666666,2.45397136616e-06
3960.61,2.6839686543e-06
3960.55,2.52897064003e-06
3960.4900000000002,2.05297540618e-06
3960.4300000000003,2.6749683412599998e-06
3960.37,2.50297013991e-06
3960.31,2.018976851e-06
3960.25,2.42897130504e-06
3960.19,2.66796799673e-06
3960.13,2.34397218862e-06
3960.0699999999997,2.39197143286e-06
3960.0099999999998,2.67296837275e-06
3959.95,2.13697499309e-06
3959.89,2.32197253501e-06
3959.83,2.57496991576e-06
3959.77,2.016975973e-06
3959.71,1.93597770309e-06
3959.65,2.22697357604e-06
3959.59,2.32797244054e-06
3959.53,2.16497546172e-06
3959.4700000000003,2.219974141e-06
3959.4100000000003,2.38997146435e-06
3959.3500000000004,2.55796972868e-06
3959.29,2.55796972868e-06
3959.23,2.59696956937e-06
3959.17,2.66896843573e-06
3959.11,2.73296742805e-06
3959.05,2.85096647963e-06
3958.99,2.42197187e-06
3958.93,2.48197183479e-06
3958.87,2.59196919335e-06
3958.81,2.21297379647e-06
3958.7483333333334,2.73996777258e-06
3958.6866666666665,2.74996852462e-06
3958.625,2.49697023438e-06
3958.5633333333335,2.83396629255e-06
3958.5016666666666,2.5439699491099998e-06
3958.44,2.24897322965e-06
3958.38,2.4419715550999998e-06
3958.32,2.5889696953299998e-06
3958.26,2.27697369828e-06
3958.2,2.21097382796e-06
3958.14,2.5889696953299998e-06
3958.08,2.623969599e-06
3958.02,2.36297234421e-06
3957.96,2.1589746467e-06
3957.8999999999996,2.24597373163e-06
3957.8399999999997,2.61496928596e-06
3957.7799999999997,2.7449681486e-06
3957.72,2.36897224974e-06
3957.66,2.34397218862e-06
3957.6,2.85696638516e-06
3957.54,2.50897004544e-06
3957.48,2.34797212564e-06
3957.42,2.77896852276e-06
3957.36,2.55697019917e-06
3957.3,2.51597038997e-06
3957.2400000000002,2.72796796152e-06
3957.1800000000003,2.5439699491099998e-06
3957.12,2.32997331854e-06
3957.06,2.71496862095e-06
3957.0,2.64996828014e-06
3956.94,2.1889741743499998e-06
3956.88,2.33197237756e-06
3956.8199999999997,2.28597310183e-06
3956.7599999999998,2.28897350934e-06
3956.7,2.52597023252e-06
3956.64,2.75496799115e-06
3956.5783333333334,2.63496897106e-06
3956.5166666666664,1.98797688435e-06
3956.455,2.33697184409e-06
3956.3933333333334,2.44997142914e-06
3956.3316666666665,2.29797291289e-06
3956.27,2.79196786333e-06
3956.21,2.4009717459e-06
3956.15,2.23397392057e-06
3956.09,2.6629685302e-06
3956.0299999999997,2.56097013619e-06
3955.97,2.66596802822e-06
3955.91,2.7039683394e-06
3955.85,2.35097253315e-06
3955.79,2.70696783742e-06
3955.73,2.82996635553e-06
3955.67,2.10997496346e-06
3955.61,2.34697259613e-06
3955.55,2.65096871914e-06
3955.4900000000002,2.39797133839e-06
3955.4300000000003,2.57696988427e-06
3955.37,2.54996985464e-06
3955.31,2.57797032327e-06
3955.25,2.38497199782e-06
3955.19,2.51496995097e-06
3955.13,2.72196805599e-06
3955.07,2.62996950453e-06
3955.01,2.49097032885e-06
3954.95,2.02097591002e-06
3954.89,2.22897354455e-06
3954.83,2.26297391871e-06
3954.77,2.25797354269e-06
3954.71,2.33797228309e-06
3954.6499999999996,2.23197395206e-06
3954.5899999999997,2.73196789854e-06
3954.5299999999997,2.59696956937e-06
